Susceptible, Exposed, Infectious, Recovered, Scenario, timestep
19, 5, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
15, 9, 3, 0,cloth, 1
15, 9, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
22, 2, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
22, 2, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
23, 1, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
22, 2, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
15, 9, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
23, 1, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
22, 2, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
22, 2, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
15, 9, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
22, 2, 3, 0,cloth, 1
22, 2, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
13, 11, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
22, 2, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
15, 9, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
22, 2, 3, 0,cloth, 1
15, 9, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
22, 2, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
15, 9, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
22, 2, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
14, 10, 3, 0,cloth, 1
22, 2, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
15, 9, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
22, 2, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
14, 10, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
15, 9, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
22, 2, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
22, 2, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
15, 9, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
22, 2, 3, 0,cloth, 1
22, 2, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
15, 9, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
14, 10, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
15, 9, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
15, 9, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
15, 9, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
22, 2, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
22, 2, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
22, 2, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
22, 2, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
15, 9, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
22, 2, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
22, 2, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
15, 9, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
13, 11, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
14, 10, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
22, 2, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
22, 2, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
23, 1, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
15, 9, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
13, 11, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
23, 1, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
15, 9, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
14, 10, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
14, 10, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
22, 2, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
22, 2, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
15, 9, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
22, 2, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
15, 9, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
15, 9, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
22, 2, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
15, 9, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
19, 5, 3, 0,cloth, 1
17, 7, 3, 0,cloth, 1
22, 2, 3, 0,cloth, 1
14, 10, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
13, 11, 3, 0,cloth, 1
20, 4, 3, 0,cloth, 1
21, 3, 3, 0,cloth, 1
16, 8, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
22, 2, 3, 0,cloth, 1
22, 2, 3, 0,cloth, 1
18, 6, 3, 0,cloth, 1
