Susceptible, Exposed, Infectious, Recovered, Scenario, timestep
14, 10, 3, 0,base, 1
14, 10, 3, 0,base, 1
16, 8, 3, 0,base, 1
11, 13, 3, 0,base, 1
10, 14, 3, 0,base, 1
9, 15, 3, 0,base, 1
8, 16, 3, 0,base, 1
18, 6, 3, 0,base, 1
16, 8, 3, 0,base, 1
15, 9, 3, 0,base, 1
19, 5, 3, 0,base, 1
9, 15, 3, 0,base, 1
20, 4, 3, 0,base, 1
9, 15, 3, 0,base, 1
17, 7, 3, 0,base, 1
18, 6, 3, 0,base, 1
11, 13, 3, 0,base, 1
14, 10, 3, 0,base, 1
16, 8, 3, 0,base, 1
12, 12, 3, 0,base, 1
11, 13, 3, 0,base, 1
12, 12, 3, 0,base, 1
14, 10, 3, 0,base, 1
16, 8, 3, 0,base, 1
18, 6, 3, 0,base, 1
14, 10, 3, 0,base, 1
15, 9, 3, 0,base, 1
13, 11, 3, 0,base, 1
16, 8, 3, 0,base, 1
13, 11, 3, 0,base, 1
16, 8, 3, 0,base, 1
13, 11, 3, 0,base, 1
17, 7, 3, 0,base, 1
16, 8, 3, 0,base, 1
15, 9, 3, 0,base, 1
16, 8, 3, 0,base, 1
15, 9, 3, 0,base, 1
19, 5, 3, 0,base, 1
17, 7, 3, 0,base, 1
12, 12, 3, 0,base, 1
13, 11, 3, 0,base, 1
17, 7, 3, 0,base, 1
12, 12, 3, 0,base, 1
13, 11, 3, 0,base, 1
13, 11, 3, 0,base, 1
15, 9, 3, 0,base, 1
14, 10, 3, 0,base, 1
13, 11, 3, 0,base, 1
12, 12, 3, 0,base, 1
17, 7, 3, 0,base, 1
16, 8, 3, 0,base, 1
11, 13, 3, 0,base, 1
12, 12, 3, 0,base, 1
15, 9, 3, 0,base, 1
11, 13, 3, 0,base, 1
17, 7, 3, 0,base, 1
15, 9, 3, 0,base, 1
8, 16, 3, 0,base, 1
16, 8, 3, 0,base, 1
13, 11, 3, 0,base, 1
15, 9, 3, 0,base, 1
13, 11, 3, 0,base, 1
20, 4, 3, 0,base, 1
12, 12, 3, 0,base, 1
13, 11, 3, 0,base, 1
11, 13, 3, 0,base, 1
9, 15, 3, 0,base, 1
14, 10, 3, 0,base, 1
14, 10, 3, 0,base, 1
16, 8, 3, 0,base, 1
16, 8, 3, 0,base, 1
12, 12, 3, 0,base, 1
16, 8, 3, 0,base, 1
12, 12, 3, 0,base, 1
16, 8, 3, 0,base, 1
15, 9, 3, 0,base, 1
14, 10, 3, 0,base, 1
10, 14, 3, 0,base, 1
12, 12, 3, 0,base, 1
12, 12, 3, 0,base, 1
11, 13, 3, 0,base, 1
18, 6, 3, 0,base, 1
10, 14, 3, 0,base, 1
12, 12, 3, 0,base, 1
14, 10, 3, 0,base, 1
15, 9, 3, 0,base, 1
16, 8, 3, 0,base, 1
17, 7, 3, 0,base, 1
15, 9, 3, 0,base, 1
13, 11, 3, 0,base, 1
15, 9, 3, 0,base, 1
13, 11, 3, 0,base, 1
7, 17, 3, 0,base, 1
10, 14, 3, 0,base, 1
15, 9, 3, 0,base, 1
17, 7, 3, 0,base, 1
18, 6, 3, 0,base, 1
12, 12, 3, 0,base, 1
15, 9, 3, 0,base, 1
14, 10, 3, 0,base, 1
12, 12, 3, 0,base, 1
12, 12, 3, 0,base, 1
13, 11, 3, 0,base, 1
12, 12, 3, 0,base, 1
11, 13, 3, 0,base, 1
10, 14, 3, 0,base, 1
15, 9, 3, 0,base, 1
15, 9, 3, 0,base, 1
9, 15, 3, 0,base, 1
15, 9, 3, 0,base, 1
14, 10, 3, 0,base, 1
15, 9, 3, 0,base, 1
13, 11, 3, 0,base, 1
13, 11, 3, 0,base, 1
16, 8, 3, 0,base, 1
15, 9, 3, 0,base, 1
13, 11, 3, 0,base, 1
11, 13, 3, 0,base, 1
18, 6, 3, 0,base, 1
10, 14, 3, 0,base, 1
13, 11, 3, 0,base, 1
20, 4, 3, 0,base, 1
12, 12, 3, 0,base, 1
19, 5, 3, 0,base, 1
16, 8, 3, 0,base, 1
17, 7, 3, 0,base, 1
12, 12, 3, 0,base, 1
12, 12, 3, 0,base, 1
12, 12, 3, 0,base, 1
16, 8, 3, 0,base, 1
20, 4, 3, 0,base, 1
14, 10, 3, 0,base, 1
15, 9, 3, 0,base, 1
11, 13, 3, 0,base, 1
16, 8, 3, 0,base, 1
13, 11, 3, 0,base, 1
15, 9, 3, 0,base, 1
14, 10, 3, 0,base, 1
15, 9, 3, 0,base, 1
16, 8, 3, 0,base, 1
11, 13, 3, 0,base, 1
10, 14, 3, 0,base, 1
14, 10, 3, 0,base, 1
17, 7, 3, 0,base, 1
16, 8, 3, 0,base, 1
15, 9, 3, 0,base, 1
19, 5, 3, 0,base, 1
14, 10, 3, 0,base, 1
13, 11, 3, 0,base, 1
18, 6, 3, 0,base, 1
12, 12, 3, 0,base, 1
11, 13, 3, 0,base, 1
11, 13, 3, 0,base, 1
18, 6, 3, 0,base, 1
12, 12, 3, 0,base, 1
13, 11, 3, 0,base, 1
15, 9, 3, 0,base, 1
11, 13, 3, 0,base, 1
13, 11, 3, 0,base, 1
13, 11, 3, 0,base, 1
13, 11, 3, 0,base, 1
8, 16, 3, 0,base, 1
12, 12, 3, 0,base, 1
12, 12, 3, 0,base, 1
16, 8, 3, 0,base, 1
16, 8, 3, 0,base, 1
12, 12, 3, 0,base, 1
14, 10, 3, 0,base, 1
14, 10, 3, 0,base, 1
13, 11, 3, 0,base, 1
17, 7, 3, 0,base, 1
13, 11, 3, 0,base, 1
12, 12, 3, 0,base, 1
14, 10, 3, 0,base, 1
14, 10, 3, 0,base, 1
11, 13, 3, 0,base, 1
16, 8, 3, 0,base, 1
17, 7, 3, 0,base, 1
18, 6, 3, 0,base, 1
10, 14, 3, 0,base, 1
13, 11, 3, 0,base, 1
12, 12, 3, 0,base, 1
11, 13, 3, 0,base, 1
15, 9, 3, 0,base, 1
17, 7, 3, 0,base, 1
10, 14, 3, 0,base, 1
13, 11, 3, 0,base, 1
11, 13, 3, 0,base, 1
17, 7, 3, 0,base, 1
17, 7, 3, 0,base, 1
10, 14, 3, 0,base, 1
18, 6, 3, 0,base, 1
15, 9, 3, 0,base, 1
14, 10, 3, 0,base, 1
15, 9, 3, 0,base, 1
12, 12, 3, 0,base, 1
10, 14, 3, 0,base, 1
13, 11, 3, 0,base, 1
14, 10, 3, 0,base, 1
14, 10, 3, 0,base, 1
16, 8, 3, 0,base, 1
12, 12, 3, 0,base, 1
13, 11, 3, 0,base, 1
10, 14, 3, 0,base, 1
11, 13, 3, 0,base, 1
19, 5, 3, 0,base, 1
14, 10, 3, 0,base, 1
19, 5, 3, 0,base, 1
11, 13, 3, 0,base, 1
13, 11, 3, 0,base, 1
13, 11, 3, 0,base, 1
14, 10, 3, 0,base, 1
11, 13, 3, 0,base, 1
12, 12, 3, 0,base, 1
15, 9, 3, 0,base, 1
11, 13, 3, 0,base, 1
17, 7, 3, 0,base, 1
11, 13, 3, 0,base, 1
12, 12, 3, 0,base, 1
11, 13, 3, 0,base, 1
17, 7, 3, 0,base, 1
16, 8, 3, 0,base, 1
17, 7, 3, 0,base, 1
15, 9, 3, 0,base, 1
16, 8, 3, 0,base, 1
18, 6, 3, 0,base, 1
9, 15, 3, 0,base, 1
11, 13, 3, 0,base, 1
13, 11, 3, 0,base, 1
15, 9, 3, 0,base, 1
15, 9, 3, 0,base, 1
15, 9, 3, 0,base, 1
14, 10, 3, 0,base, 1
12, 12, 3, 0,base, 1
16, 8, 3, 0,base, 1
14, 10, 3, 0,base, 1
16, 8, 3, 0,base, 1
10, 14, 3, 0,base, 1
15, 9, 3, 0,base, 1
16, 8, 3, 0,base, 1
15, 9, 3, 0,base, 1
18, 6, 3, 0,base, 1
14, 10, 3, 0,base, 1
11, 13, 3, 0,base, 1
13, 11, 3, 0,base, 1
16, 8, 3, 0,base, 1
18, 6, 3, 0,base, 1
15, 9, 3, 0,base, 1
16, 8, 3, 0,base, 1
13, 11, 3, 0,base, 1
10, 14, 3, 0,base, 1
11, 13, 3, 0,base, 1
14, 10, 3, 0,base, 1
20, 4, 3, 0,base, 1
19, 5, 3, 0,base, 1
8, 16, 3, 0,base, 1
14, 10, 3, 0,base, 1
13, 11, 3, 0,base, 1
10, 14, 3, 0,base, 1
15, 9, 3, 0,base, 1
13, 11, 3, 0,base, 1
14, 10, 3, 0,base, 1
15, 9, 3, 0,base, 1
16, 8, 3, 0,base, 1
17, 7, 3, 0,base, 1
15, 9, 3, 0,base, 1
15, 9, 3, 0,base, 1
17, 7, 3, 0,base, 1
13, 11, 3, 0,base, 1
10, 14, 3, 0,base, 1
16, 8, 3, 0,base, 1
15, 9, 3, 0,base, 1
18, 6, 3, 0,base, 1
14, 10, 3, 0,base, 1
18, 6, 3, 0,base, 1
12, 12, 3, 0,base, 1
12, 12, 3, 0,base, 1
13, 11, 3, 0,base, 1
17, 7, 3, 0,base, 1
13, 11, 3, 0,base, 1
15, 9, 3, 0,base, 1
10, 14, 3, 0,base, 1
15, 9, 3, 0,base, 1
12, 12, 3, 0,base, 1
16, 8, 3, 0,base, 1
10, 14, 3, 0,base, 1
12, 12, 3, 0,base, 1
18, 6, 3, 0,base, 1
13, 11, 3, 0,base, 1
16, 8, 3, 0,base, 1
15, 9, 3, 0,base, 1
10, 14, 3, 0,base, 1
10, 14, 3, 0,base, 1
13, 11, 3, 0,base, 1
12, 12, 3, 0,base, 1
17, 7, 3, 0,base, 1
17, 7, 3, 0,base, 1
13, 11, 3, 0,base, 1
14, 10, 3, 0,base, 1
13, 11, 3, 0,base, 1
14, 10, 3, 0,base, 1
14, 10, 3, 0,base, 1
12, 12, 3, 0,base, 1
14, 10, 3, 0,base, 1
17, 7, 3, 0,base, 1
20, 4, 3, 0,base, 1
11, 13, 3, 0,base, 1
11, 13, 3, 0,base, 1
14, 10, 3, 0,base, 1
12, 12, 3, 0,base, 1
13, 11, 3, 0,base, 1
16, 8, 3, 0,base, 1
11, 13, 3, 0,base, 1
17, 7, 3, 0,base, 1
17, 7, 3, 0,base, 1
10, 14, 3, 0,base, 1
15, 9, 3, 0,base, 1
16, 8, 3, 0,base, 1
12, 12, 3, 0,base, 1
15, 9, 3, 0,base, 1
11, 13, 3, 0,base, 1
16, 8, 3, 0,base, 1
18, 6, 3, 0,base, 1
12, 12, 3, 0,base, 1
14, 10, 3, 0,base, 1
11, 13, 3, 0,base, 1
15, 9, 3, 0,base, 1
13, 11, 3, 0,base, 1
13, 11, 3, 0,base, 1
17, 7, 3, 0,base, 1
12, 12, 3, 0,base, 1
15, 9, 3, 0,base, 1
16, 8, 3, 0,base, 1
12, 12, 3, 0,base, 1
10, 14, 3, 0,base, 1
11, 13, 3, 0,base, 1
15, 9, 3, 0,base, 1
12, 12, 3, 0,base, 1
15, 9, 3, 0,base, 1
10, 14, 3, 0,base, 1
12, 12, 3, 0,base, 1
13, 11, 3, 0,base, 1
14, 10, 3, 0,base, 1
17, 7, 3, 0,base, 1
9, 15, 3, 0,base, 1
16, 8, 3, 0,base, 1
16, 8, 3, 0,base, 1
14, 10, 3, 0,base, 1
12, 12, 3, 0,base, 1
15, 9, 3, 0,base, 1
14, 10, 3, 0,base, 1
13, 11, 3, 0,base, 1
17, 7, 3, 0,base, 1
18, 6, 3, 0,base, 1
9, 15, 3, 0,base, 1
13, 11, 3, 0,base, 1
15, 9, 3, 0,base, 1
11, 13, 3, 0,base, 1
14, 10, 3, 0,base, 1
14, 10, 3, 0,base, 1
13, 11, 3, 0,base, 1
14, 10, 3, 0,base, 1
16, 8, 3, 0,base, 1
8, 16, 3, 0,base, 1
15, 9, 3, 0,base, 1
17, 7, 3, 0,base, 1
14, 10, 3, 0,base, 1
11, 13, 3, 0,base, 1
13, 11, 3, 0,base, 1
16, 8, 3, 0,base, 1
18, 6, 3, 0,base, 1
18, 6, 3, 0,base, 1
14, 10, 3, 0,base, 1
17, 7, 3, 0,base, 1
13, 11, 3, 0,base, 1
12, 12, 3, 0,base, 1
17, 7, 3, 0,base, 1
12, 12, 3, 0,base, 1
13, 11, 3, 0,base, 1
13, 11, 3, 0,base, 1
12, 12, 3, 0,base, 1
12, 12, 3, 0,base, 1
16, 8, 3, 0,base, 1
13, 11, 3, 0,base, 1
15, 9, 3, 0,base, 1
17, 7, 3, 0,base, 1
11, 13, 3, 0,base, 1
16, 8, 3, 0,base, 1
17, 7, 3, 0,base, 1
16, 8, 3, 0,base, 1
13, 11, 3, 0,base, 1
13, 11, 3, 0,base, 1
12, 12, 3, 0,base, 1
16, 8, 3, 0,base, 1
14, 10, 3, 0,base, 1
14, 10, 3, 0,base, 1
18, 6, 3, 0,base, 1
14, 10, 3, 0,base, 1
18, 6, 3, 0,base, 1
16, 8, 3, 0,base, 1
16, 8, 3, 0,base, 1
12, 12, 3, 0,base, 1
20, 4, 3, 0,base, 1
18, 6, 3, 0,base, 1
13, 11, 3, 0,base, 1
12, 12, 3, 0,base, 1
18, 6, 3, 0,base, 1
12, 12, 3, 0,base, 1
15, 9, 3, 0,base, 1
12, 12, 3, 0,base, 1
15, 9, 3, 0,base, 1
12, 12, 3, 0,base, 1
8, 16, 3, 0,base, 1
13, 11, 3, 0,base, 1
13, 11, 3, 0,base, 1
19, 5, 3, 0,base, 1
11, 13, 3, 0,base, 1
16, 8, 3, 0,base, 1
16, 8, 3, 0,base, 1
12, 12, 3, 0,base, 1
18, 6, 3, 0,base, 1
20, 4, 3, 0,base, 1
17, 7, 3, 0,base, 1
13, 11, 3, 0,base, 1
14, 10, 3, 0,base, 1
13, 11, 3, 0,base, 1
11, 13, 3, 0,base, 1
16, 8, 3, 0,base, 1
14, 10, 3, 0,base, 1
17, 7, 3, 0,base, 1
15, 9, 3, 0,base, 1
14, 10, 3, 0,base, 1
14, 10, 3, 0,base, 1
15, 9, 3, 0,base, 1
18, 6, 3, 0,base, 1
12, 12, 3, 0,base, 1
15, 9, 3, 0,base, 1
12, 12, 3, 0,base, 1
14, 10, 3, 0,base, 1
15, 9, 3, 0,base, 1
16, 8, 3, 0,base, 1
13, 11, 3, 0,base, 1
13, 11, 3, 0,base, 1
11, 13, 3, 0,base, 1
17, 7, 3, 0,base, 1
16, 8, 3, 0,base, 1
14, 10, 3, 0,base, 1
14, 10, 3, 0,base, 1
15, 9, 3, 0,base, 1
11, 13, 3, 0,base, 1
13, 11, 3, 0,base, 1
16, 8, 3, 0,base, 1
16, 8, 3, 0,base, 1
9, 15, 3, 0,base, 1
14, 10, 3, 0,base, 1
19, 5, 3, 0,base, 1
12, 12, 3, 0,base, 1
18, 6, 3, 0,base, 1
14, 10, 3, 0,base, 1
14, 10, 3, 0,base, 1
16, 8, 3, 0,base, 1
16, 8, 3, 0,base, 1
13, 11, 3, 0,base, 1
12, 12, 3, 0,base, 1
13, 11, 3, 0,base, 1
15, 9, 3, 0,base, 1
14, 10, 3, 0,base, 1
13, 11, 3, 0,base, 1
12, 12, 3, 0,base, 1
21, 3, 3, 0,base, 1
16, 8, 3, 0,base, 1
10, 14, 3, 0,base, 1
15, 9, 3, 0,base, 1
15, 9, 3, 0,base, 1
14, 10, 3, 0,base, 1
14, 10, 3, 0,base, 1
13, 11, 3, 0,base, 1
12, 12, 3, 0,base, 1
12, 12, 3, 0,base, 1
15, 9, 3, 0,base, 1
13, 11, 3, 0,base, 1
19, 5, 3, 0,base, 1
14, 10, 3, 0,base, 1
15, 9, 3, 0,base, 1
11, 13, 3, 0,base, 1
19, 5, 3, 0,base, 1
16, 8, 3, 0,base, 1
12, 12, 3, 0,base, 1
14, 10, 3, 0,base, 1
13, 11, 3, 0,base, 1
13, 11, 3, 0,base, 1
19, 5, 3, 0,base, 1
17, 7, 3, 0,base, 1
15, 9, 3, 0,base, 1
12, 12, 3, 0,base, 1
13, 11, 3, 0,base, 1
12, 12, 3, 0,base, 1
14, 10, 3, 0,base, 1
10, 14, 3, 0,base, 1
13, 11, 3, 0,base, 1
15, 9, 3, 0,base, 1
16, 8, 3, 0,base, 1
14, 10, 3, 0,base, 1
13, 11, 3, 0,base, 1
16, 8, 3, 0,base, 1
17, 7, 3, 0,base, 1
10, 14, 3, 0,base, 1
16, 8, 3, 0,base, 1
12, 12, 3, 0,base, 1
16, 8, 3, 0,base, 1
17, 7, 3, 0,base, 1
13, 11, 3, 0,base, 1
15, 9, 3, 0,base, 1
13, 11, 3, 0,base, 1
15, 9, 3, 0,base, 1
12, 12, 3, 0,base, 1
11, 13, 3, 0,base, 1
11, 13, 3, 0,base, 1
18, 6, 3, 0,base, 1
10, 14, 3, 0,base, 1
13, 11, 3, 0,base, 1
11, 13, 3, 0,base, 1
18, 6, 3, 0,base, 1
10, 14, 3, 0,base, 1
11, 13, 3, 0,base, 1
18, 6, 3, 0,base, 1
18, 6, 3, 0,base, 1
11, 13, 3, 0,base, 1
14, 10, 3, 0,base, 1
15, 9, 3, 0,base, 1
18, 6, 3, 0,base, 1
15, 9, 3, 0,base, 1
15, 9, 3, 0,base, 1
13, 11, 3, 0,base, 1
18, 6, 3, 0,base, 1
16, 8, 3, 0,base, 1
15, 9, 3, 0,base, 1
16, 8, 3, 0,base, 1
19, 5, 3, 0,base, 1
12, 12, 3, 0,base, 1
17, 7, 3, 0,base, 1
12, 12, 3, 0,base, 1
11, 13, 3, 0,base, 1
10, 14, 3, 0,base, 1
15, 9, 3, 0,base, 1
10, 14, 3, 0,base, 1
14, 10, 3, 0,base, 1
13, 11, 3, 0,base, 1
17, 7, 3, 0,base, 1
13, 11, 3, 0,base, 1
11, 13, 3, 0,base, 1
11, 13, 3, 0,base, 1
17, 7, 3, 0,base, 1
18, 6, 3, 0,base, 1
16, 8, 3, 0,base, 1
17, 7, 3, 0,base, 1
12, 12, 3, 0,base, 1
16, 8, 3, 0,base, 1
13, 11, 3, 0,base, 1
9, 15, 3, 0,base, 1
12, 12, 3, 0,base, 1
14, 10, 3, 0,base, 1
17, 7, 3, 0,base, 1
14, 10, 3, 0,base, 1
11, 13, 3, 0,base, 1
17, 7, 3, 0,base, 1
12, 12, 3, 0,base, 1
11, 13, 3, 0,base, 1
15, 9, 3, 0,base, 1
10, 14, 3, 0,base, 1
10, 14, 3, 0,base, 1
14, 10, 3, 0,base, 1
14, 10, 3, 0,base, 1
15, 9, 3, 0,base, 1
13, 11, 3, 0,base, 1
11, 13, 3, 0,base, 1
13, 11, 3, 0,base, 1
19, 5, 3, 0,base, 1
17, 7, 3, 0,base, 1
15, 9, 3, 0,base, 1
18, 6, 3, 0,base, 1
18, 6, 3, 0,base, 1
10, 14, 3, 0,base, 1
12, 12, 3, 0,base, 1
12, 12, 3, 0,base, 1
15, 9, 3, 0,base, 1
16, 8, 3, 0,base, 1
14, 10, 3, 0,base, 1
15, 9, 3, 0,base, 1
13, 11, 3, 0,base, 1
15, 9, 3, 0,base, 1
14, 10, 3, 0,base, 1
16, 8, 3, 0,base, 1
12, 12, 3, 0,base, 1
9, 15, 3, 0,base, 1
15, 9, 3, 0,base, 1
12, 12, 3, 0,base, 1
9, 15, 3, 0,base, 1
14, 10, 3, 0,base, 1
19, 5, 3, 0,base, 1
13, 11, 3, 0,base, 1
17, 7, 3, 0,base, 1
14, 10, 3, 0,base, 1
13, 11, 3, 0,base, 1
14, 10, 3, 0,base, 1
18, 6, 3, 0,base, 1
18, 6, 3, 0,base, 1
16, 8, 3, 0,base, 1
15, 9, 3, 0,base, 1
17, 7, 3, 0,base, 1
12, 12, 3, 0,base, 1
13, 11, 3, 0,base, 1
11, 13, 3, 0,base, 1
14, 10, 3, 0,base, 1
12, 12, 3, 0,base, 1
15, 9, 3, 0,base, 1
13, 11, 3, 0,base, 1
13, 11, 3, 0,base, 1
14, 10, 3, 0,base, 1
15, 9, 3, 0,base, 1
12, 12, 3, 0,base, 1
14, 10, 3, 0,base, 1
13, 11, 3, 0,base, 1
14, 10, 3, 0,base, 1
10, 14, 3, 0,base, 1
15, 9, 3, 0,base, 1
14, 10, 3, 0,base, 1
16, 8, 3, 0,base, 1
13, 11, 3, 0,base, 1
14, 10, 3, 0,base, 1
11, 13, 3, 0,base, 1
14, 10, 3, 0,base, 1
9, 15, 3, 0,base, 1
13, 11, 3, 0,base, 1
17, 7, 3, 0,base, 1
17, 7, 3, 0,base, 1
14, 10, 3, 0,base, 1
15, 9, 3, 0,base, 1
18, 6, 3, 0,base, 1
16, 8, 3, 0,base, 1
20, 4, 3, 0,base, 1
15, 9, 3, 0,base, 1
12, 12, 3, 0,base, 1
13, 11, 3, 0,base, 1
18, 6, 3, 0,base, 1
13, 11, 3, 0,base, 1
16, 8, 3, 0,base, 1
13, 11, 3, 0,base, 1
15, 9, 3, 0,base, 1
16, 8, 3, 0,base, 1
16, 8, 3, 0,base, 1
12, 12, 3, 0,base, 1
12, 12, 3, 0,base, 1
14, 10, 3, 0,base, 1
13, 11, 3, 0,base, 1
14, 10, 3, 0,base, 1
15, 9, 3, 0,base, 1
17, 7, 3, 0,base, 1
18, 6, 3, 0,base, 1
12, 12, 3, 0,base, 1
11, 13, 3, 0,base, 1
14, 10, 3, 0,base, 1
14, 10, 3, 0,base, 1
10, 14, 3, 0,base, 1
15, 9, 3, 0,base, 1
15, 9, 3, 0,base, 1
16, 8, 3, 0,base, 1
10, 14, 3, 0,base, 1
18, 6, 3, 0,base, 1
13, 11, 3, 0,base, 1
10, 14, 3, 0,base, 1
15, 9, 3, 0,base, 1
16, 8, 3, 0,base, 1
