Susceptible, Exposed, Infectious, Recovered, Scenario, timestep
115, 35, 3, 0,base, 0.6
115, 35, 3, 0,base, 0.6
102, 48, 3, 0,base, 0.6
116, 34, 3, 0,base, 0.6
104, 46, 3, 0,base, 0.6
123, 27, 3, 0,base, 0.6
117, 33, 3, 0,base, 0.6
118, 32, 3, 0,base, 0.6
105, 45, 3, 0,base, 0.6
109, 41, 3, 0,base, 0.6
114, 36, 3, 0,base, 0.6
106, 44, 3, 0,base, 0.6
101, 49, 3, 0,base, 0.6
119, 31, 3, 0,base, 0.6
102, 48, 3, 0,base, 0.6
114, 36, 3, 0,base, 0.6
111, 39, 3, 0,base, 0.6
121, 29, 3, 0,base, 0.6
129, 21, 3, 0,base, 0.6
116, 34, 3, 0,base, 0.6
115, 35, 3, 0,base, 0.6
109, 41, 3, 0,base, 0.6
114, 36, 3, 0,base, 0.6
103, 47, 3, 0,base, 0.6
113, 37, 3, 0,base, 0.6
116, 34, 3, 0,base, 0.6
96, 54, 3, 0,base, 0.6
110, 40, 3, 0,base, 0.6
104, 46, 3, 0,base, 0.6
110, 40, 3, 0,base, 0.6
121, 29, 3, 0,base, 0.6
100, 50, 3, 0,base, 0.6
107, 43, 3, 0,base, 0.6
108, 42, 3, 0,base, 0.6
104, 46, 3, 0,base, 0.6
99, 51, 3, 0,base, 0.6
116, 34, 3, 0,base, 0.6
113, 37, 3, 0,base, 0.6
122, 28, 3, 0,base, 0.6
107, 43, 3, 0,base, 0.6
107, 43, 3, 0,base, 0.6
116, 34, 3, 0,base, 0.6
107, 43, 3, 0,base, 0.6
99, 51, 3, 0,base, 0.6
113, 37, 3, 0,base, 0.6
111, 39, 3, 0,base, 0.6
109, 41, 3, 0,base, 0.6
113, 37, 3, 0,base, 0.6
121, 29, 3, 0,base, 0.6
102, 48, 3, 0,base, 0.6
99, 51, 3, 0,base, 0.6
112, 38, 3, 0,base, 0.6
117, 33, 3, 0,base, 0.6
100, 50, 3, 0,base, 0.6
107, 43, 3, 0,base, 0.6
110, 40, 3, 0,base, 0.6
98, 52, 3, 0,base, 0.6
114, 36, 3, 0,base, 0.6
108, 42, 3, 0,base, 0.6
110, 40, 3, 0,base, 0.6
124, 26, 3, 0,base, 0.6
98, 52, 3, 0,base, 0.6
115, 35, 3, 0,base, 0.6
123, 27, 3, 0,base, 0.6
113, 37, 3, 0,base, 0.6
111, 39, 3, 0,base, 0.6
110, 40, 3, 0,base, 0.6
109, 41, 3, 0,base, 0.6
112, 38, 3, 0,base, 0.6
108, 42, 3, 0,base, 0.6
99, 51, 3, 0,base, 0.6
121, 29, 3, 0,base, 0.6
102, 48, 3, 0,base, 0.6
116, 34, 3, 0,base, 0.6
105, 45, 3, 0,base, 0.6
113, 37, 3, 0,base, 0.6
109, 41, 3, 0,base, 0.6
111, 39, 3, 0,base, 0.6
105, 45, 3, 0,base, 0.6
109, 41, 3, 0,base, 0.6
106, 44, 3, 0,base, 0.6
112, 38, 3, 0,base, 0.6
110, 40, 3, 0,base, 0.6
110, 40, 3, 0,base, 0.6
106, 44, 3, 0,base, 0.6
114, 36, 3, 0,base, 0.6
116, 34, 3, 0,base, 0.6
119, 31, 3, 0,base, 0.6
113, 37, 3, 0,base, 0.6
102, 48, 3, 0,base, 0.6
113, 37, 3, 0,base, 0.6
113, 37, 3, 0,base, 0.6
107, 43, 3, 0,base, 0.6
107, 43, 3, 0,base, 0.6
109, 41, 3, 0,base, 0.6
105, 45, 3, 0,base, 0.6
105, 45, 3, 0,base, 0.6
112, 38, 3, 0,base, 0.6
111, 39, 3, 0,base, 0.6
99, 51, 3, 0,base, 0.6
110, 40, 3, 0,base, 0.6
101, 49, 3, 0,base, 0.6
107, 43, 3, 0,base, 0.6
114, 36, 3, 0,base, 0.6
114, 36, 3, 0,base, 0.6
126, 24, 3, 0,base, 0.6
111, 39, 3, 0,base, 0.6
104, 46, 3, 0,base, 0.6
99, 51, 3, 0,base, 0.6
111, 39, 3, 0,base, 0.6
115, 35, 3, 0,base, 0.6
100, 50, 3, 0,base, 0.6
116, 34, 3, 0,base, 0.6
116, 34, 3, 0,base, 0.6
103, 47, 3, 0,base, 0.6
108, 42, 3, 0,base, 0.6
119, 31, 3, 0,base, 0.6
109, 41, 3, 0,base, 0.6
113, 37, 3, 0,base, 0.6
115, 35, 3, 0,base, 0.6
101, 49, 3, 0,base, 0.6
117, 33, 3, 0,base, 0.6
107, 43, 3, 0,base, 0.6
109, 41, 3, 0,base, 0.6
100, 50, 3, 0,base, 0.6
118, 32, 3, 0,base, 0.6
107, 43, 3, 0,base, 0.6
109, 41, 3, 0,base, 0.6
117, 33, 3, 0,base, 0.6
120, 30, 3, 0,base, 0.6
111, 39, 3, 0,base, 0.6
109, 41, 3, 0,base, 0.6
124, 26, 3, 0,base, 0.6
120, 30, 3, 0,base, 0.6
115, 35, 3, 0,base, 0.6
107, 43, 3, 0,base, 0.6
110, 40, 3, 0,base, 0.6
115, 35, 3, 0,base, 0.6
106, 44, 3, 0,base, 0.6
105, 45, 3, 0,base, 0.6
99, 51, 3, 0,base, 0.6
109, 41, 3, 0,base, 0.6
105, 45, 3, 0,base, 0.6
110, 40, 3, 0,base, 0.6
111, 39, 3, 0,base, 0.6
115, 35, 3, 0,base, 0.6
121, 29, 3, 0,base, 0.6
117, 33, 3, 0,base, 0.6
126, 24, 3, 0,base, 0.6
109, 41, 3, 0,base, 0.6
129, 21, 3, 0,base, 0.6
124, 26, 3, 0,base, 0.6
118, 32, 3, 0,base, 0.6
113, 37, 3, 0,base, 0.6
113, 37, 3, 0,base, 0.6
115, 35, 3, 0,base, 0.6
112, 38, 3, 0,base, 0.6
107, 43, 3, 0,base, 0.6
100, 50, 3, 0,base, 0.6
111, 39, 3, 0,base, 0.6
124, 26, 3, 0,base, 0.6
121, 29, 3, 0,base, 0.6
113, 37, 3, 0,base, 0.6
107, 43, 3, 0,base, 0.6
104, 46, 3, 0,base, 0.6
110, 40, 3, 0,base, 0.6
112, 38, 3, 0,base, 0.6
118, 32, 3, 0,base, 0.6
128, 22, 3, 0,base, 0.6
117, 33, 3, 0,base, 0.6
121, 29, 3, 0,base, 0.6
105, 45, 3, 0,base, 0.6
99, 51, 3, 0,base, 0.6
106, 44, 3, 0,base, 0.6
112, 38, 3, 0,base, 0.6
107, 43, 3, 0,base, 0.6
106, 44, 3, 0,base, 0.6
101, 49, 3, 0,base, 0.6
120, 30, 3, 0,base, 0.6
109, 41, 3, 0,base, 0.6
118, 32, 3, 0,base, 0.6
102, 48, 3, 0,base, 0.6
116, 34, 3, 0,base, 0.6
109, 41, 3, 0,base, 0.6
101, 49, 3, 0,base, 0.6
115, 35, 3, 0,base, 0.6
122, 28, 3, 0,base, 0.6
107, 43, 3, 0,base, 0.6
117, 33, 3, 0,base, 0.6
120, 30, 3, 0,base, 0.6
117, 33, 3, 0,base, 0.6
100, 50, 3, 0,base, 0.6
112, 38, 3, 0,base, 0.6
106, 44, 3, 0,base, 0.6
115, 35, 3, 0,base, 0.6
116, 34, 3, 0,base, 0.6
107, 43, 3, 0,base, 0.6
107, 43, 3, 0,base, 0.6
111, 39, 3, 0,base, 0.6
114, 36, 3, 0,base, 0.6
105, 45, 3, 0,base, 0.6
118, 32, 3, 0,base, 0.6
97, 53, 3, 0,base, 0.6
110, 40, 3, 0,base, 0.6
111, 39, 3, 0,base, 0.6
117, 33, 3, 0,base, 0.6
109, 41, 3, 0,base, 0.6
108, 42, 3, 0,base, 0.6
116, 34, 3, 0,base, 0.6
116, 34, 3, 0,base, 0.6
119, 31, 3, 0,base, 0.6
109, 41, 3, 0,base, 0.6
113, 37, 3, 0,base, 0.6
107, 43, 3, 0,base, 0.6
112, 38, 3, 0,base, 0.6
110, 40, 3, 0,base, 0.6
108, 42, 3, 0,base, 0.6
105, 45, 3, 0,base, 0.6
119, 31, 3, 0,base, 0.6
104, 46, 3, 0,base, 0.6
103, 47, 3, 0,base, 0.6
105, 45, 3, 0,base, 0.6
113, 37, 3, 0,base, 0.6
107, 43, 3, 0,base, 0.6
112, 38, 3, 0,base, 0.6
112, 38, 3, 0,base, 0.6
118, 32, 3, 0,base, 0.6
113, 37, 3, 0,base, 0.6
99, 51, 3, 0,base, 0.6
108, 42, 3, 0,base, 0.6
96, 54, 3, 0,base, 0.6
107, 43, 3, 0,base, 0.6
119, 31, 3, 0,base, 0.6
119, 31, 3, 0,base, 0.6
99, 51, 3, 0,base, 0.6
117, 33, 3, 0,base, 0.6
119, 31, 3, 0,base, 0.6
111, 39, 3, 0,base, 0.6
104, 46, 3, 0,base, 0.6
110, 40, 3, 0,base, 0.6
108, 42, 3, 0,base, 0.6
110, 40, 3, 0,base, 0.6
127, 23, 3, 0,base, 0.6
111, 39, 3, 0,base, 0.6
103, 47, 3, 0,base, 0.6
114, 36, 3, 0,base, 0.6
100, 50, 3, 0,base, 0.6
103, 47, 3, 0,base, 0.6
104, 46, 3, 0,base, 0.6
108, 42, 3, 0,base, 0.6
112, 38, 3, 0,base, 0.6
100, 50, 3, 0,base, 0.6
108, 42, 3, 0,base, 0.6
120, 30, 3, 0,base, 0.6
107, 43, 3, 0,base, 0.6
112, 38, 3, 0,base, 0.6
112, 38, 3, 0,base, 0.6
114, 36, 3, 0,base, 0.6
105, 45, 3, 0,base, 0.6
128, 22, 3, 0,base, 0.6
100, 50, 3, 0,base, 0.6
111, 39, 3, 0,base, 0.6
104, 46, 3, 0,base, 0.6
112, 38, 3, 0,base, 0.6
105, 45, 3, 0,base, 0.6
107, 43, 3, 0,base, 0.6
92, 58, 3, 0,base, 0.6
106, 44, 3, 0,base, 0.6
107, 43, 3, 0,base, 0.6
108, 42, 3, 0,base, 0.6
101, 49, 3, 0,base, 0.6
118, 32, 3, 0,base, 0.6
119, 31, 3, 0,base, 0.6
113, 37, 3, 0,base, 0.6
99, 51, 3, 0,base, 0.6
99, 51, 3, 0,base, 0.6
112, 38, 3, 0,base, 0.6
106, 44, 3, 0,base, 0.6
115, 35, 3, 0,base, 0.6
111, 39, 3, 0,base, 0.6
108, 42, 3, 0,base, 0.6
108, 42, 3, 0,base, 0.6
96, 54, 3, 0,base, 0.6
100, 50, 3, 0,base, 0.6
113, 37, 3, 0,base, 0.6
102, 48, 3, 0,base, 0.6
111, 39, 3, 0,base, 0.6
125, 25, 3, 0,base, 0.6
109, 41, 3, 0,base, 0.6
120, 30, 3, 0,base, 0.6
103, 47, 3, 0,base, 0.6
112, 38, 3, 0,base, 0.6
109, 41, 3, 0,base, 0.6
111, 39, 3, 0,base, 0.6
111, 39, 3, 0,base, 0.6
112, 38, 3, 0,base, 0.6
112, 38, 3, 0,base, 0.6
115, 35, 3, 0,base, 0.6
115, 35, 3, 0,base, 0.6
118, 32, 3, 0,base, 0.6
110, 40, 3, 0,base, 0.6
103, 47, 3, 0,base, 0.6
114, 36, 3, 0,base, 0.6
108, 42, 3, 0,base, 0.6
95, 55, 3, 0,base, 0.6
109, 41, 3, 0,base, 0.6
111, 39, 3, 0,base, 0.6
109, 41, 3, 0,base, 0.6
121, 29, 3, 0,base, 0.6
119, 31, 3, 0,base, 0.6
112, 38, 3, 0,base, 0.6
125, 25, 3, 0,base, 0.6
123, 27, 3, 0,base, 0.6
122, 28, 3, 0,base, 0.6
110, 40, 3, 0,base, 0.6
112, 38, 3, 0,base, 0.6
108, 42, 3, 0,base, 0.6
114, 36, 3, 0,base, 0.6
114, 36, 3, 0,base, 0.6
109, 41, 3, 0,base, 0.6
107, 43, 3, 0,base, 0.6
114, 36, 3, 0,base, 0.6
102, 48, 3, 0,base, 0.6
120, 30, 3, 0,base, 0.6
99, 51, 3, 0,base, 0.6
111, 39, 3, 0,base, 0.6
104, 46, 3, 0,base, 0.6
