Susceptible, Exposed, Infectious, Recovered, Scenario
98, 52, 3, 0,base
108, 42, 3, 0,base
112, 38, 3, 0,base
115, 35, 3, 0,base
108, 42, 3, 0,base
120, 30, 3, 0,base
129, 21, 3, 0,base
92, 58, 3, 0,base
104, 46, 3, 0,base
109, 41, 3, 0,base
106, 44, 3, 0,base
106, 44, 3, 0,base
115, 35, 3, 0,base
105, 45, 3, 0,base
96, 54, 3, 0,base
121, 29, 3, 0,base
97, 53, 3, 0,base
114, 36, 3, 0,base
112, 38, 3, 0,base
98, 52, 3, 0,base
123, 27, 3, 0,base
96, 54, 3, 0,base
104, 46, 3, 0,base
93, 57, 3, 0,base
101, 49, 3, 0,base
106, 44, 3, 0,base
107, 43, 3, 0,base
97, 53, 3, 0,base
117, 33, 3, 0,base
114, 36, 3, 0,base
116, 34, 3, 0,base
116, 34, 3, 0,base
112, 38, 3, 0,base
107, 43, 3, 0,base
111, 39, 3, 0,base
100, 50, 3, 0,base
110, 40, 3, 0,base
115, 35, 3, 0,base
110, 40, 3, 0,base
113, 37, 3, 0,base
108, 42, 3, 0,base
112, 38, 3, 0,base
116, 34, 3, 0,base
119, 31, 3, 0,base
113, 37, 3, 0,base
115, 35, 3, 0,base
115, 35, 3, 0,base
104, 46, 3, 0,base
116, 34, 3, 0,base
112, 38, 3, 0,base
110, 40, 3, 0,base
104, 46, 3, 0,base
109, 41, 3, 0,base
116, 34, 3, 0,base
108, 42, 3, 0,base
120, 30, 3, 0,base
97, 53, 3, 0,base
121, 29, 3, 0,base
104, 46, 3, 0,base
118, 32, 3, 0,base
104, 46, 3, 0,base
112, 38, 3, 0,base
118, 32, 3, 0,base
116, 34, 3, 0,base
124, 26, 3, 0,base
110, 40, 3, 0,base
111, 39, 3, 0,base
105, 45, 3, 0,base
106, 44, 3, 0,base
95, 55, 3, 0,base
105, 45, 3, 0,base
129, 21, 3, 0,base
113, 37, 3, 0,base
128, 22, 3, 0,base
114, 36, 3, 0,base
111, 39, 3, 0,base
109, 41, 3, 0,base
95, 55, 3, 0,base
114, 36, 3, 0,base
117, 33, 3, 0,base
116, 34, 3, 0,base
116, 34, 3, 0,base
121, 29, 3, 0,base
113, 37, 3, 0,base
99, 51, 3, 0,base
105, 45, 3, 0,base
103, 47, 3, 0,base
106, 44, 3, 0,base
119, 31, 3, 0,base
114, 36, 3, 0,base
108, 42, 3, 0,base
130, 20, 3, 0,base
107, 43, 3, 0,base
96, 54, 3, 0,base
123, 27, 3, 0,base
112, 38, 3, 0,base
119, 31, 3, 0,base
109, 41, 3, 0,base
104, 46, 3, 0,base
100, 50, 3, 0,base
111, 39, 3, 0,base
113, 37, 3, 0,base
101, 49, 3, 0,base
100, 50, 3, 0,base
116, 34, 3, 0,base
106, 44, 3, 0,base
104, 46, 3, 0,base
105, 45, 3, 0,base
111, 39, 3, 0,base
118, 32, 3, 0,base
108, 42, 3, 0,base
118, 32, 3, 0,base
120, 30, 3, 0,base
116, 34, 3, 0,base
118, 32, 3, 0,base
118, 32, 3, 0,base
112, 38, 3, 0,base
114, 36, 3, 0,base
110, 40, 3, 0,base
118, 32, 3, 0,base
115, 35, 3, 0,base
100, 50, 3, 0,base
115, 35, 3, 0,base
109, 41, 3, 0,base
123, 27, 3, 0,base
129, 21, 3, 0,base
115, 35, 3, 0,base
110, 40, 3, 0,base
102, 48, 3, 0,base
103, 47, 3, 0,base
114, 36, 3, 0,base
105, 45, 3, 0,base
121, 29, 3, 0,base
108, 42, 3, 0,base
110, 40, 3, 0,base
116, 34, 3, 0,base
108, 42, 3, 0,base
124, 26, 3, 0,base
110, 40, 3, 0,base
112, 38, 3, 0,base
110, 40, 3, 0,base
126, 24, 3, 0,base
95, 55, 3, 0,base
103, 47, 3, 0,base
108, 42, 3, 0,base
108, 42, 3, 0,base
110, 40, 3, 0,base
113, 37, 3, 0,base
104, 46, 3, 0,base
110, 40, 3, 0,base
101, 49, 3, 0,base
112, 38, 3, 0,base
112, 38, 3, 0,base
112, 38, 3, 0,base
113, 37, 3, 0,base
117, 33, 3, 0,base
105, 45, 3, 0,base
100, 50, 3, 0,base
104, 46, 3, 0,base
110, 40, 3, 0,base
98, 52, 3, 0,base
115, 35, 3, 0,base
106, 44, 3, 0,base
112, 38, 3, 0,base
110, 40, 3, 0,base
117, 33, 3, 0,base
114, 36, 3, 0,base
110, 40, 3, 0,base
109, 41, 3, 0,base
90, 60, 3, 0,base
98, 52, 3, 0,base
114, 36, 3, 0,base
110, 40, 3, 0,base
113, 37, 3, 0,base
105, 45, 3, 0,base
114, 36, 3, 0,base
111, 39, 3, 0,base
100, 50, 3, 0,base
113, 37, 3, 0,base
110, 40, 3, 0,base
114, 36, 3, 0,base
120, 30, 3, 0,base
112, 38, 3, 0,base
111, 39, 3, 0,base
113, 37, 3, 0,base
112, 38, 3, 0,base
110, 40, 3, 0,base
126, 24, 3, 0,base
119, 31, 3, 0,base
109, 41, 3, 0,base
105, 45, 3, 0,base
121, 29, 3, 0,base
98, 52, 3, 0,base
134, 16, 3, 0,base
114, 36, 3, 0,base
111, 39, 3, 0,base
99, 51, 3, 0,base
120, 30, 3, 0,base
105, 45, 3, 0,base
117, 33, 3, 0,base
104, 46, 3, 0,base
116, 34, 3, 0,base
100, 50, 3, 0,base
125, 25, 3, 0,base
121, 29, 3, 0,base
117, 33, 3, 0,base
96, 54, 3, 0,base
122, 28, 3, 0,base
103, 47, 3, 0,base
111, 39, 3, 0,base
119, 31, 3, 0,base
114, 36, 3, 0,base
109, 41, 3, 0,base
105, 45, 3, 0,base
115, 35, 3, 0,base
119, 31, 3, 0,base
113, 37, 3, 0,base
101, 49, 3, 0,base
108, 42, 3, 0,base
113, 37, 3, 0,base
106, 44, 3, 0,base
99, 51, 3, 0,base
118, 32, 3, 0,base
113, 37, 3, 0,base
110, 40, 3, 0,base
124, 26, 3, 0,base
116, 34, 3, 0,base
111, 39, 3, 0,base
108, 42, 3, 0,base
110, 40, 3, 0,base
106, 44, 3, 0,base
95, 55, 3, 0,base
109, 41, 3, 0,base
107, 43, 3, 0,base
100, 50, 3, 0,base
109, 41, 3, 0,base
120, 30, 3, 0,base
116, 34, 3, 0,base
114, 36, 3, 0,base
115, 35, 3, 0,base
112, 38, 3, 0,base
110, 40, 3, 0,base
111, 39, 3, 0,base
115, 35, 3, 0,base
103, 47, 3, 0,base
102, 48, 3, 0,base
116, 34, 3, 0,base
96, 54, 3, 0,base
114, 36, 3, 0,base
110, 40, 3, 0,base
113, 37, 3, 0,base
112, 38, 3, 0,base
119, 31, 3, 0,base
117, 33, 3, 0,base
105, 45, 3, 0,base
107, 43, 3, 0,base
112, 38, 3, 0,base
118, 32, 3, 0,base
107, 43, 3, 0,base
117, 33, 3, 0,base
116, 34, 3, 0,base
108, 42, 3, 0,base
99, 51, 3, 0,base
110, 40, 3, 0,base
103, 47, 3, 0,base
107, 43, 3, 0,base
107, 43, 3, 0,base
120, 30, 3, 0,base
117, 33, 3, 0,base
113, 37, 3, 0,base
101, 49, 3, 0,base
127, 23, 3, 0,base
121, 29, 3, 0,base
103, 47, 3, 0,base
110, 40, 3, 0,base
110, 40, 3, 0,base
107, 43, 3, 0,base
113, 37, 3, 0,base
116, 34, 3, 0,base
113, 37, 3, 0,base
104, 46, 3, 0,base
106, 44, 3, 0,base
122, 28, 3, 0,base
108, 42, 3, 0,base
101, 49, 3, 0,base
113, 37, 3, 0,base
106, 44, 3, 0,base
120, 30, 3, 0,base
106, 44, 3, 0,base
124, 26, 3, 0,base
116, 34, 3, 0,base
115, 35, 3, 0,base
104, 46, 3, 0,base
113, 37, 3, 0,base
100, 50, 3, 0,base
109, 41, 3, 0,base
119, 31, 3, 0,base
107, 43, 3, 0,base
118, 32, 3, 0,base
119, 31, 3, 0,base
115, 35, 3, 0,base
125, 25, 3, 0,base
113, 37, 3, 0,base
111, 39, 3, 0,base
113, 37, 3, 0,base
122, 28, 3, 0,base
113, 37, 3, 0,base
115, 35, 3, 0,base
101, 49, 3, 0,base
104, 46, 3, 0,base
111, 39, 3, 0,base
100, 50, 3, 0,base
113, 37, 3, 0,base
126, 24, 3, 0,base
125, 25, 3, 0,base
105, 45, 3, 0,base
118, 32, 3, 0,base
100, 50, 3, 0,base
118, 32, 3, 0,base
103, 47, 3, 0,base
100, 50, 3, 0,base
124, 26, 3, 0,base
112, 38, 3, 0,base
121, 29, 3, 0,base
95, 55, 3, 0,base
124, 26, 3, 0,base
111, 39, 3, 0,base
104, 46, 3, 0,base
117, 33, 3, 0,base
109, 41, 3, 0,base
112, 38, 3, 0,base
113, 37, 3, 0,base
112, 38, 3, 0,base
115, 35, 3, 0,base
115, 35, 3, 0,base
102, 48, 3, 0,base
98, 52, 3, 0,base
91, 59, 3, 0,base
117, 33, 3, 0,base
108, 42, 3, 0,base
96, 54, 3, 0,base
105, 45, 3, 0,base
105, 45, 3, 0,base
115, 35, 3, 0,base
118, 32, 3, 0,base
115, 35, 3, 0,base
114, 36, 3, 0,base
114, 36, 3, 0,base
108, 42, 3, 0,base
109, 41, 3, 0,base
115, 35, 3, 0,base
107, 43, 3, 0,base
110, 40, 3, 0,base
109, 41, 3, 0,base
111, 39, 3, 0,base
118, 32, 3, 0,base
104, 46, 3, 0,base
115, 35, 3, 0,base
117, 33, 3, 0,base
112, 38, 3, 0,base
115, 35, 3, 0,base
106, 44, 3, 0,base
108, 42, 3, 0,base
115, 35, 3, 0,base
109, 41, 3, 0,base
117, 33, 3, 0,base
115, 35, 3, 0,base
108, 42, 3, 0,base
116, 34, 3, 0,base
124, 26, 3, 0,base
108, 42, 3, 0,base
110, 40, 3, 0,base
111, 39, 3, 0,base
96, 54, 3, 0,base
107, 43, 3, 0,base
123, 27, 3, 0,base
114, 36, 3, 0,base
113, 37, 3, 0,base
103, 47, 3, 0,base
112, 38, 3, 0,base
103, 47, 3, 0,base
104, 46, 3, 0,base
101, 49, 3, 0,base
112, 38, 3, 0,base
100, 50, 3, 0,base
112, 38, 3, 0,base
112, 38, 3, 0,base
124, 26, 3, 0,base
109, 41, 3, 0,base
116, 34, 3, 0,base
108, 42, 3, 0,base
109, 41, 3, 0,base
107, 43, 3, 0,base
97, 53, 3, 0,base
106, 44, 3, 0,base
102, 48, 3, 0,base
107, 43, 3, 0,base
94, 56, 3, 0,base
113, 37, 3, 0,base
112, 38, 3, 0,base
114, 36, 3, 0,base
107, 43, 3, 0,base
125, 25, 3, 0,base
109, 41, 3, 0,base
117, 33, 3, 0,base
111, 39, 3, 0,base
102, 48, 3, 0,base
132, 18, 3, 0,base
108, 42, 3, 0,base
106, 44, 3, 0,base
115, 35, 3, 0,base
110, 40, 3, 0,base
106, 44, 3, 0,base
122, 28, 3, 0,base
114, 36, 3, 0,base
113, 37, 3, 0,base
105, 45, 3, 0,base
118, 32, 3, 0,base
121, 29, 3, 0,base
111, 39, 3, 0,base
111, 39, 3, 0,base
116, 34, 3, 0,base
97, 53, 3, 0,base
98, 52, 3, 0,base
105, 45, 3, 0,base
116, 34, 3, 0,base
114, 36, 3, 0,base
107, 43, 3, 0,base
117, 33, 3, 0,base
111, 39, 3, 0,base
107, 43, 3, 0,base
100, 50, 3, 0,base
115, 35, 3, 0,base
112, 38, 3, 0,base
113, 37, 3, 0,base
115, 35, 3, 0,base
97, 53, 3, 0,base
115, 35, 3, 0,base
121, 29, 3, 0,base
108, 42, 3, 0,base
102, 48, 3, 0,base
111, 39, 3, 0,base
102, 48, 3, 0,base
100, 50, 3, 0,base
111, 39, 3, 0,base
114, 36, 3, 0,base
113, 37, 3, 0,base
113, 37, 3, 0,base
109, 41, 3, 0,base
118, 32, 3, 0,base
115, 35, 3, 0,base
104, 46, 3, 0,base
103, 47, 3, 0,base
118, 32, 3, 0,base
106, 44, 3, 0,base
117, 33, 3, 0,base
116, 34, 3, 0,base
103, 47, 3, 0,base
110, 40, 3, 0,base
111, 39, 3, 0,base
112, 38, 3, 0,base
113, 37, 3, 0,base
97, 53, 3, 0,base
118, 32, 3, 0,base
110, 40, 3, 0,base
115, 35, 3, 0,base
102, 48, 3, 0,base
108, 42, 3, 0,base
102, 48, 3, 0,base
107, 43, 3, 0,base
103, 47, 3, 0,base
120, 30, 3, 0,base
117, 33, 3, 0,base
125, 25, 3, 0,base
112, 38, 3, 0,base
113, 37, 3, 0,base
118, 32, 3, 0,base
113, 37, 3, 0,base
107, 43, 3, 0,base
110, 40, 3, 0,base
116, 34, 3, 0,base
116, 34, 3, 0,base
110, 40, 3, 0,base
117, 33, 3, 0,base
101, 49, 3, 0,base
116, 34, 3, 0,base
112, 38, 3, 0,base
115, 35, 3, 0,base
103, 47, 3, 0,base
111, 39, 3, 0,base
100, 50, 3, 0,base
116, 34, 3, 0,base
105, 45, 3, 0,base
99, 51, 3, 0,base
118, 32, 3, 0,base
115, 35, 3, 0,base
108, 42, 3, 0,base
117, 33, 3, 0,base
111, 39, 3, 0,base
112, 38, 3, 0,base
111, 39, 3, 0,base
101, 49, 3, 0,base
118, 32, 3, 0,base
125, 25, 3, 0,base
98, 52, 3, 0,base
112, 38, 3, 0,base
112, 38, 3, 0,base
109, 41, 3, 0,base
110, 40, 3, 0,base
115, 35, 3, 0,base
112, 38, 3, 0,base
102, 48, 3, 0,base
126, 24, 3, 0,base
105, 45, 3, 0,base
107, 43, 3, 0,base
110, 40, 3, 0,base
110, 40, 3, 0,base
119, 31, 3, 0,base
116, 34, 3, 0,base
106, 44, 3, 0,base
118, 32, 3, 0,base
113, 37, 3, 0,base
121, 29, 3, 0,base
115, 35, 3, 0,base
117, 33, 3, 0,base
110, 40, 3, 0,base
111, 39, 3, 0,base
107, 43, 3, 0,base
104, 46, 3, 0,base
107, 43, 3, 0,base
106, 44, 3, 0,base
114, 36, 3, 0,base
100, 50, 3, 0,base
104, 46, 3, 0,base
112, 38, 3, 0,base
111, 39, 3, 0,base
103, 47, 3, 0,base
117, 33, 3, 0,base
99, 51, 3, 0,base
118, 32, 3, 0,base
124, 26, 3, 0,base
109, 41, 3, 0,base
121, 29, 3, 0,base
113, 37, 3, 0,base
106, 44, 3, 0,base
108, 42, 3, 0,base
119, 31, 3, 0,base
97, 53, 3, 0,base
103, 47, 3, 0,base
112, 38, 3, 0,base
116, 34, 3, 0,base
114, 36, 3, 0,base
125, 25, 3, 0,base
108, 42, 3, 0,base
109, 41, 3, 0,base
107, 43, 3, 0,base
103, 47, 3, 0,base
121, 29, 3, 0,base
118, 32, 3, 0,base
130, 20, 3, 0,base
110, 40, 3, 0,base
111, 39, 3, 0,base
125, 25, 3, 0,base
115, 35, 3, 0,base
114, 36, 3, 0,base
106, 44, 3, 0,base
110, 40, 3, 0,base
106, 44, 3, 0,base
115, 35, 3, 0,base
95, 55, 3, 0,base
110, 40, 3, 0,base
118, 32, 3, 0,base
112, 38, 3, 0,base
115, 35, 3, 0,base
117, 33, 3, 0,base
105, 45, 3, 0,base
109, 41, 3, 0,base
120, 30, 3, 0,base
112, 38, 3, 0,base
128, 22, 3, 0,base
127, 23, 3, 0,base
110, 40, 3, 0,base
105, 45, 3, 0,base
107, 43, 3, 0,base
112, 38, 3, 0,base
121, 29, 3, 0,base
114, 36, 3, 0,base
108, 42, 3, 0,base
107, 43, 3, 0,base
119, 31, 3, 0,base
111, 39, 3, 0,base
116, 34, 3, 0,base
118, 32, 3, 0,base
117, 33, 3, 0,base
103, 47, 3, 0,base
108, 42, 3, 0,base
104, 46, 3, 0,base
119, 31, 3, 0,base
112, 38, 3, 0,base
109, 41, 3, 0,base
104, 46, 3, 0,base
110, 40, 3, 0,base
97, 53, 3, 0,base
104, 46, 3, 0,base
113, 37, 3, 0,base
91, 59, 3, 0,base
101, 49, 3, 0,base
112, 38, 3, 0,base
113, 37, 3, 0,base
111, 39, 3, 0,base
120, 30, 3, 0,base
114, 36, 3, 0,base
105, 45, 3, 0,base
103, 47, 3, 0,base
109, 41, 3, 0,base
118, 32, 3, 0,base
105, 45, 3, 0,base
125, 25, 3, 0,base
108, 42, 3, 0,base
116, 34, 3, 0,base
116, 34, 3, 0,base
104, 46, 3, 0,base
88, 62, 3, 0,base
120, 30, 3, 0,base
130, 20, 3, 0,base
98, 52, 3, 0,base
106, 44, 3, 0,base
100, 50, 3, 0,base
108, 42, 3, 0,base
97, 53, 3, 0,base
108, 42, 3, 0,base
95, 55, 3, 0,base
118, 32, 3, 0,base
112, 38, 3, 0,base
106, 44, 3, 0,base
101, 49, 3, 0,base
131, 19, 3, 0,base
122, 28, 3, 0,base
113, 37, 3, 0,base
96, 54, 3, 0,base
103, 47, 3, 0,base
124, 26, 3, 0,base
117, 33, 3, 0,base
96, 54, 3, 0,base
109, 41, 3, 0,base
116, 34, 3, 0,base
123, 27, 3, 0,base
108, 42, 3, 0,base
103, 47, 3, 0,base
121, 29, 3, 0,base
111, 39, 3, 0,base
111, 39, 3, 0,base
99, 51, 3, 0,base
103, 47, 3, 0,base
116, 34, 3, 0,base
113, 37, 3, 0,base
122, 28, 3, 0,base
112, 38, 3, 0,base
114, 36, 3, 0,base
122, 28, 3, 0,base
90, 60, 3, 0,base
112, 38, 3, 0,base
88, 62, 3, 0,base
106, 44, 3, 0,base
118, 32, 3, 0,base
116, 34, 3, 0,base
132, 18, 3, 0,base
114, 36, 3, 0,base
99, 51, 3, 0,base
103, 47, 3, 0,base
103, 47, 3, 0,base
121, 29, 3, 0,base
114, 36, 3, 0,base
117, 33, 3, 0,base
113, 37, 3, 0,base
97, 53, 3, 0,base
121, 29, 3, 0,base
110, 40, 3, 0,base
108, 42, 3, 0,base
115, 35, 3, 0,base
110, 40, 3, 0,base
96, 54, 3, 0,base
103, 47, 3, 0,base
105, 45, 3, 0,base
119, 31, 3, 0,base
107, 43, 3, 0,base
104, 46, 3, 0,base
108, 42, 3, 0,base
111, 39, 3, 0,base
109, 41, 3, 0,base
117, 33, 3, 0,base
103, 47, 3, 0,base
104, 46, 3, 0,base
114, 36, 3, 0,base
116, 34, 3, 0,base
117, 33, 3, 0,base
114, 36, 3, 0,base
102, 48, 3, 0,base
109, 41, 3, 0,base
112, 38, 3, 0,base
122, 28, 3, 0,base
124, 26, 3, 0,base
105, 45, 3, 0,base
111, 39, 3, 0,base
117, 33, 3, 0,base
111, 39, 3, 0,base
102, 48, 3, 0,base
113, 37, 3, 0,base
111, 39, 3, 0,base
106, 44, 3, 0,base
105, 45, 3, 0,base
128, 22, 3, 0,base
100, 50, 3, 0,base
106, 44, 3, 0,base
119, 31, 3, 0,base
106, 44, 3, 0,base
100, 50, 3, 0,base
111, 39, 3, 0,base
101, 49, 3, 0,base
123, 27, 3, 0,base
110, 40, 3, 0,base
120, 30, 3, 0,base
108, 42, 3, 0,base
107, 43, 3, 0,base
111, 39, 3, 0,base
122, 28, 3, 0,base
94, 56, 3, 0,base
121, 29, 3, 0,base
115, 35, 3, 0,base
102, 48, 3, 0,base
108, 42, 3, 0,base
124, 26, 3, 0,base
107, 43, 3, 0,base
100, 50, 3, 0,base
106, 44, 3, 0,base
117, 33, 3, 0,base
110, 40, 3, 0,base
102, 48, 3, 0,base
110, 40, 3, 0,base
114, 36, 3, 0,base
118, 32, 3, 0,base
111, 39, 3, 0,base
111, 39, 3, 0,base
127, 23, 3, 0,base
115, 35, 3, 0,base
119, 31, 3, 0,base
108, 42, 3, 0,base
110, 40, 3, 0,base
105, 45, 3, 0,base
109, 41, 3, 0,base
125, 25, 3, 0,base
108, 42, 3, 0,base
107, 43, 3, 0,base
113, 37, 3, 0,base
106, 44, 3, 0,base
108, 42, 3, 0,base
116, 34, 3, 0,base
114, 36, 3, 0,base
103, 47, 3, 0,base
111, 39, 3, 0,base
103, 47, 3, 0,base
111, 39, 3, 0,base
108, 42, 3, 0,base
106, 44, 3, 0,base
89, 61, 3, 0,base
101, 49, 3, 0,base
107, 43, 3, 0,base
113, 37, 3, 0,base
103, 47, 3, 0,base
117, 33, 3, 0,base
105, 45, 3, 0,base
98, 52, 3, 0,base
119, 31, 3, 0,base
109, 41, 3, 0,base
99, 51, 3, 0,base
108, 42, 3, 0,base
115, 35, 3, 0,base
121, 29, 3, 0,base
112, 38, 3, 0,base
106, 44, 3, 0,base
115, 35, 3, 0,base
113, 37, 3, 0,base
110, 40, 3, 0,base
126, 24, 3, 0,base
108, 42, 3, 0,base
120, 30, 3, 0,base
114, 36, 3, 0,base
124, 26, 3, 0,base
107, 43, 3, 0,base
109, 41, 3, 0,base
112, 38, 3, 0,base
115, 35, 3, 0,base
115, 35, 3, 0,base
97, 53, 3, 0,base
117, 33, 3, 0,base
119, 31, 3, 0,base
98, 52, 3, 0,base
113, 37, 3, 0,base
129, 21, 3, 0,base
120, 30, 3, 0,base
105, 45, 3, 0,base
118, 32, 3, 0,base
105, 45, 3, 0,base
119, 31, 3, 0,base
101, 49, 3, 0,base
130, 20, 3, 0,base
117, 33, 3, 0,base
108, 42, 3, 0,base
104, 46, 3, 0,base
113, 37, 3, 0,base
103, 47, 3, 0,base
120, 30, 3, 0,base
116, 34, 3, 0,base
113, 37, 3, 0,base
107, 43, 3, 0,base
110, 40, 3, 0,base
113, 37, 3, 0,base
119, 31, 3, 0,base
104, 46, 3, 0,base
99, 51, 3, 0,base
114, 36, 3, 0,base
116, 34, 3, 0,base
122, 28, 3, 0,base
107, 43, 3, 0,base
113, 37, 3, 0,base
117, 33, 3, 0,base
120, 30, 3, 0,base
119, 31, 3, 0,base
